"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-io","udpipe.misc.B-pd","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-td","udpipe.misc.I-tm","udpipe.misc.SpaceAfter"
"1","poprvé","poprvé","12","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","celý","celý","13","O","","","","Inan","","Nom","Pos","","Masc","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","půdorys","půdorys","14","O","","","","Inan","","Nom","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","pravěké","pravěký","15","O","","","","","","Gen","Pos","","Fem","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","vesnice","vesnice","16","O","","","","","","Gen","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","i","i","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","s","s","18","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","pohřebištěm","pohřebiště","19","O","","","","","","Ins","","","Neut","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","V","v","20","B-gu","Settlement name (City/Town)","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Hradci","Hradec","21","I-gu","Settlement name (City/Town)","","","Inan","","Loc","","","Masc","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","Králové","Králové","22","O","","","","","","Gen","","","Fem","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",",",",","23","B-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","",""
"1","27","27","24","I-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","Yes","","No"
"1",".",".","25","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","No"
"1","111","111","26","I-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","Yes","No"
"1",".",".","27","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","No"
"1","1974","1974","28","O","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1",".",".","29","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","předejte","předat","30","O","","","","","Perf","","","","","","Imp","","","","Plur","2","Pos","","","","","","Fin","","","","","","","","","","",""
"1","prosím","prosit","31","B-P","Complex personal names","","","","Imp","","","","","","Ind","","","","Sing","1","Pos","","","","Pres","","Fin","Act","","Yes","","","","","","","",""
"1","Dr.J.Ratajo","Dr.j.rataj","32","I-P","Complex personal names","","","Anim","","Acc","","","Masc","","","Giv","","","Sing","","","","","","","","","","","","Yes","","","","","","",""
"1","|","|","33","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","",""
"1","ver","ver","34","O","","","","Inan","","Acc","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",",",",","35","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","výzkumu","výzkum","36","O","","","","Inan","","Dat","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","v","v","37","B-gu","Settlement name (City/Town)","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Opatovicích","Opatovice","38","O","","","","","","Loc","","","Fem","","","Geo","","","Plur","","","","","","","","","","","","","","","","","","","No"
"1",".",".","39","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Domnívám","domnívat","1","O","","","","","Imp","","","","","","Ind","","","","Sing","1","Pos","","","","Pres","","Fin","Act","","","","","","","","","",""
"1","se","se","2","O","","","","","","Acc","","","","","","","","","","","","","Prs","Yes","","Short","","","","","","","","","","","","No"
"1",",",",","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","že","že","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","druhý","druhý","5","O","","","","Anim","","Nom","","","Masc","","","","","Ord","Sing","","","","","","","","","","","","","","","","","","",""
"1","vedoucfvýzkumu","vedoucfvýzkum","6","O","","","","Anim","","Nom","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","v","v","7","B-gq","Urban geographical name (Street/Square)","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Opatovicích","Opatovice","8","O","","","","","","Loc","","","Fem","","","Geo","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","na","na","9","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","sídlišti","sídliště","10","O","","","","","","Loc","","","Neut","","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",",",",","11","B-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","No"
"1","Dr","Dr","12","I-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","",""
"1","V.Vokolek","V.vokolek","13","I-P","Complex personal names","","","Anim","","Nom","","","Masc","","","Giv","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","by","být","14","I-P","Complex personal names","","","","Imp","","","","","","Cnd","","","","","","","","","","","","Fin","","","","","","","","","","",""
"1","mohl","moci","15","I-P","Complex personal names","","","","Imp","","","","Masc","","","","","","Sing","","Pos","","","","Past","","Part","Act","","","","","","","","","","No"
"1","-","-","16","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","vzhledem","vzhledem","17","I-P","Complex personal names","","Comprep","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","k","k","18","I-P","Complex personal names","","Prep","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","blízkosti","blízkost","19","I-P","Complex personal names","","","","","Dat","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","svého","svůj","20","I-P","Complex personal names","","","","","Gen","","","Masc,Neut","","","","","","Sing","","","Yes","Prs","Yes","","","","","","","","","","","","","",""
"1","pracoviště","pracoviště","21","O","","","","","","Gen","","","Neut","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","zahájit","zahájit","22","O","","","","","Perf","","","","","","","","","","","","Pos","","","","","","Inf","","","","","","","","","","",""
"1","jednání","jednání","23","O","","","","","","Acc","","","Neut","","","","","","Sing","","","","","","","","Vnoun","","","","","","","","","","",""
"1","s","s","24","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ústavem","ústav","25","O","","","","Inan","","Ins","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","o","o","26","O","","","Prep","","","Acc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","další","další","27","O","","","","Inan","","Acc","Pos","","Masc","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","výzkum","výzkum","28","O","","","","Inan","","Acc","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","na","na","29","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","sídlišti","sídliště","30","O","","","","","","Loc","","","Neut","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1",".",".","31","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Doporučuji","doporučovat","1","O","","","","","Imp","","","","","","Ind","","","","Sing","1","Pos","","","","Pres","","Fin","Act","","","","","","","","","","No"
"1",",",",","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","aby","aby","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","by","být","4","O","","","","","Imp","","","","","","Cnd","","","","","","","","","","","","Fin","","","","","","","","","","",""
"1","tento","tento","5","O","","","","","","Nom","","","Masc","","","","","","Sing","","","","Dem","","","","","","","","","","","","","","",""
